NOME_AUTOR	NOME_ORIENTADOR	GRANDE_AREA	AREA	SUB_AREA	ESPECIALIDADE
VIVIANE DE OLIVEIRA BELO	RAPHAEL MOREIRA BEIRIGO	Ciências Agrárias	Agronomia	Ciência do Solo	nan
ANNE KETYLA MONTE DIOGENES	CARLOS HENRIQUE DE BRITO	Ciências Agrárias	Agronomia	Fitossanidade	Entomologia Agrícola
ANDERSON DELFINO MAURICIO NUNES	CARLOS HENRIQUE DE BRITO	Ciências Agrárias	Agronomia	Fitossanidade	Entomologia Agrícola
LUCAS FERREIRA DA SILVA	MARCOS BARROS DE MEDEIROS	Ciências Agrárias	Agronomia	Fitossanidade	Entomologia Agrícola
POLLYANA CLIVIA DOS ANJOS SANTOS	MARCOS BARROS DE MEDEIROS	Ciências Agrárias	Agronomia	Fitossanidade	Entomologia Agrícola
LAÍS MOREIRA AVELINO	MARCOS BARROS DE MEDEIROS	Ciências Agrárias	Agronomia	Fitossanidade	Entomologia Agrícola
ANA CLARA ALMEIDA FELIX	MARIA JOSE ARAUJO WANDERLEY	Ciências Agrárias	Agronomia	Fitossanidade	Entomologia Agrícola
HELOISA SANTA ROSA DE ALMEIDA	MARIA JOSE ARAUJO WANDERLEY	Ciências Agrárias	Agronomia	Fitossanidade	Entomologia Agrícola
LAÍS SOUTO LIRA	LUCIANA CORDEIRO DO NASCIMENTO	Ciências Agrárias	Agronomia	Fitossanidade	Fitopatologia
FRANCYEL MATEUS ALVES	LUCIANA CORDEIRO DO NASCIMENTO	Ciências Agrárias	Agronomia	Fitossanidade	Fitopatologia
CAMILA CADETE DOS SANTOS LIRA	MARCOS BARROS DE MEDEIROS	Ciências Agrárias	Agronomia	Fitossanidade	nan
RAISSA FERNANDES SANTOS DA SILVA	MARCOS BARROS DE MEDEIROS	Ciências Agrárias	Agronomia	Fitossanidade	nan
MARIA ALICE SOUSA RAMOS	MARCOS BARROS DE MEDEIROS	Ciências Agrárias	Agronomia	Fitossanidade	nan
ESTEPHANNI FERNANDA OLIVEIRA DANTAS	DIEGO SILVA BATISTA	Ciências Agrárias	Agronomia	Fitotecnia	Fisiologia de Plantas Cultivadas
VANESSA DE AZEVEDO SOARES	DIEGO SILVA BATISTA	Ciências Agrárias	Agronomia	Fitotecnia	Fisiologia de Plantas Cultivadas
ADELMO FERREIRA SILVA	MARCOS BARROS DE MEDEIROS	Ciências Agrárias	Agronomia	Fitotecnia	Fisiologia de Plantas Cultivadas
RADIJA REIS SILVA	SILVANDA DE MELO SILVA	Ciências Agrárias	Agronomia	Fitotecnia	Fisiologia de Plantas Cultivadas
ROBERTA FLORENTINO DE PONTES	SILVANDA DE MELO SILVA	Ciências Agrárias	Agronomia	Fitotecnia	Fisiologia de Plantas Cultivadas
ALLAN KELVY FERREIRA MACENA	SILVANDA DE MELO SILVA	Ciências Agrárias	Agronomia	Fitotecnia	Fisiologia de Plantas Cultivadas
LARISSA NICÁCIO PESSOA	BELISIA LUCIA MOREIRA TOSCANO DINIZ	Ciências Agrárias	Agronomia	Fitotecnia	Manejo e Tratos Culturais
LUCAS DE ALMEIDA ALVES ARARUNA	FABIO MIELEZRSKI	Ciências Agrárias	Agronomia	Fitotecnia	Manejo e Tratos Culturais
MAYRA ALVES DO NASCIMENTO	FABIO MIELEZRSKI	Ciências Agrárias	Agronomia	Fitotecnia	Manejo e Tratos Culturais
ESTEPHANY VITORIA BATISTA CARDOSO	FABIO MIELEZRSKI	Ciências Agrárias	Agronomia	Fitotecnia	Manejo e Tratos Culturais
STHEFANY DA SILVA VASCONCELOS	GUILHERME SILVA DE PODESTA	Ciências Agrárias	Agronomia	Fitotecnia	Manejo e Tratos Culturais
JOAO VICTOR RIBEIRO DA SILVA SANTOS	GUILHERME SILVA DE PODESTA	Ciências Agrárias	Agronomia	Fitotecnia	Manejo e Tratos Culturais
MARCOS ESTEFENE ALVES DE ALMEIDA	MANOEL ALEXANDRE DINIZ NETO	Ciências Agrárias	Agronomia	Fitotecnia	Manejo e Tratos Culturais
MATHEUS PETRIC RIBEIRO DO NASCIMENTO	RAUNIRA DA COSTA ARAUJO	Ciências Agrárias	Agronomia	Fitotecnia	Manejo e Tratos Culturais
MARCOS GOMES DA SILVA	ELIZANILDA RAMALHO DO REGO	Ciências Agrárias	Agronomia	Fitotecnia	Melhoramento Vegetal
THIAGO ALVES MOURA	ELIZANILDA RAMALHO DO REGO	Ciências Agrárias	Agronomia	Fitotecnia	Melhoramento Vegetal
SABRINA TRAJANO PEREIRA DA SILVA	MAILSON MONTEIRO DO REGO	Ciências Agrárias	Agronomia	Fitotecnia	Melhoramento Vegetal
INGRYD LAYANNE CANDIDO NUNES VIEIRA SALES	MAILSON MONTEIRO DO REGO	Ciências Agrárias	Agronomia	Fitotecnia	Melhoramento Vegetal
MATEUS DE SOUZA SILVA	NAYSA FLAVIA FERREIRA DO NASCIMENTO	Ciências Agrárias	Agronomia	Fitotecnia	Melhoramento Vegetal
MARIA KAROLINE FERREIRA BERNARDO	EDNA URSULINO ALVES	Ciências Agrárias	Agronomia	Fitotecnia	Produção e Beneficiamento de Sementes
EDUARDO LUA FERNANDES DA SILVA	EDNA URSULINO ALVES	Ciências Agrárias	Agronomia	Fitotecnia	Produção e Beneficiamento de Sementes
LUIS GUSTAVO ALVES DE ALMEIDA	EDNA URSULINO ALVES	Ciências Agrárias	Agronomia	Fitotecnia	Produção e Beneficiamento de Sementes
EUZIMARIA AMANSO DA SILVA	GILVANEIDE ALVES DE AZEREDO	Ciências Agrárias	Agronomia	Fitotecnia	Produção e Beneficiamento de Sementes
EMILIA MARCIELLE DIAS DE MEDEIROS	NAYSA FLAVIA FERREIRA DO NASCIMENTO	Ciências Agrárias	Agronomia	Fitotecnia	Produção e Beneficiamento de Sementes
EVELYN JAILANE DOS SANTOS BARBOSA	SILVANIA MARIA DE SOUZA GOMES NASCIMENTO	Ciências Agrárias	Agronomia	Fitotecnia	Produção e Beneficiamento de Sementes
JAYME NATANAEL GOMES TAVARES	ALEX DA SILVA BARBOSA	Ciências Agrárias	Agronomia	Fitotecnia	nan
CAUÃ FREIRE DA SILVA	ALEX DA SILVA BARBOSA	Ciências Agrárias	Agronomia	Fitotecnia	nan
ANDERSON MATIAS FRAGOSO	ALEX DA SILVA BARBOSA	Ciências Agrárias	Agronomia	Fitotecnia	nan
ANDRESSIA ALYCE DOS ANJOS SILVA	ALEXANDRE EDUARDO DE ARAUJO	Ciências Agrárias	Agronomia	Fitotecnia	nan
MAYKON DOUGLAS GOMES BARBOSA	ELIZANILDA RAMALHO DO REGO	Ciências Agrárias	Agronomia	Fitotecnia	nan
NATALINE DA SILVA PONTES	ELIZANILDA RAMALHO DO REGO	Ciências Agrárias	Agronomia	Fitotecnia	nan
JOSE JOEL ALVES GREGORIO	RISELANE DE LUCENA ALCANTARA BRUNO	Ciências Agrárias	Agronomia	Fitotecnia	nan
VINICIUS COSTA ARAUJO	RISELANE DE LUCENA ALCANTARA BRUNO	Ciências Agrárias	Agronomia	Fitotecnia	nan
VITORIA STEFANY DE MOURA	THIAGO JARDELINO DIAS	Ciências Agrárias	Agronomia	Fitotecnia	nan
AGNNE MAYARA OLIVEIRA SILVA	THIAGO JARDELINO DIAS	Ciências Agrárias	Agronomia	Fitotecnia	nan
DANIEL DE LANA SILVA	LAESIO PEREIRA MARTINS	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Ciência de Alimentos	Fisiologia Pós-Colheita
RAIANE DA ROCHA COSTA	CYBELLE PEREIRA DE OLIVEIRA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Ciência de Alimentos	Microbiologia de Alimentos
RENALY KALINE GOMES DOS SANTOS	ANDERSON FERREIRA VILELA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia das Bebidas
JOÃO PEDRO CESÁRIO FÉLIX	ANDERSON FERREIRA VILELA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia das Bebidas
RAONNE ROBERTO VERISSIMO DA SILVA	ANDERSON FERREIRA VILELA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia das Bebidas
FIDELIS FRANCO FELIZARDO DA SILVA	ANDERSON FERREIRA VILELA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia das Bebidas
JULIA MARIA BIZERRA DOS SANTOS	NORMANDO MENDES RIBEIRO FILHO	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia das Bebidas
ANTONIO LEVI FELIZARDO DA SILVA	NORMANDO MENDES RIBEIRO FILHO	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia das Bebidas
JOSÉ NARCISO FRANCISCO DA SILVA FILHO	FABIO ANDERSON PEREIRA DA SILVA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia de Produtos de Origem Animal
ISABELLY DA SILVA RAMALHO	FABIO ANDERSON PEREIRA DA SILVA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia de Produtos de Origem Animal
PEDRO LUCAS DE LIMA SILVA	IRIS BRAZ DA SILVA ARAUJO	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia de Produtos de Origem Animal
KELLY VITÓRIA LIMA SILVA FERREIRA	LEONARDO AUGUSTO FONSECA PASCOAL	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia de Produtos de Origem Animal
PATRICIA DOS SANTOS CONSTANTINO	ADRIANA FERREIRA DOS SANTOS	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia de Produtos de Origem Vegetal
ANA CLARA NUNES LINS	ARIANNE DANTAS VIANA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia de Produtos de Origem Vegetal
ANTONIO LAIRTON GOMES ALTINO	ARIANNE DANTAS VIANA	Ciências Agrárias	Ciência e Tecnologia de Alimentos	Tecnologia de Alimentos	Tecnologia de Produtos de Origem Vegetal
JOAO MIGUEL DE ARAUJO SANTOS	IVIA CARMEM TALIERI	Ciências Agrárias	Medicina Veterinária	Clínica e Cirurgia Animal	Clínica Cirúrgica Animal
VITORIA BAPTISTA DA SILVA	IVIA CARMEM TALIERI	Ciências Agrárias	Medicina Veterinária	Clínica e Cirurgia Animal	Clínica Cirúrgica Animal
MARIA HELENA RODRIGUES DA CRUZ	NATALIA MATOS SOUZA AZEVEDO	Ciências Agrárias	Medicina Veterinária	Clínica e Cirurgia Animal	Clínica Cirúrgica Animal
FELIPE XAVIER OLIVEIRA	ISABELLA DE OLIVEIRA BARROS	Ciências Agrárias	Medicina Veterinária	Clínica e Cirurgia Animal	Clínica Veterinária
DEBORA DE AZEVEDO OLIVEIRA	ISABELLA DE OLIVEIRA BARROS	Ciências Agrárias	Medicina Veterinária	Clínica e Cirurgia Animal	Clínica Veterinária
BRUNA SEGUI PARAISO	SARA VILAR DANTAS SIMOES	Ciências Agrárias	Medicina Veterinária	Clínica e Cirurgia Animal	Clínica Veterinária
GIOVANNA PAIVA CASTELO BRANCO	DANILA BARREIRO CAMPOS	Ciências Agrárias	Medicina Veterinária	Clínica e Cirurgia Animal	nan
CHIVA MARIA DE CARVALHO COSTA	DANILA BARREIRO CAMPOS	Ciências Agrárias	Medicina Veterinária	Clínica e Cirurgia Animal	nan
STEPHANY SOARES MENDES	ARTUR CEZAR DE CARVALHO FERNANDES	Ciências Agrárias	Medicina Veterinária	Medicina Veterinária Preventiva	Doenças Infecciosas de Animais
ABRAAO ARTHUR DOS REIS BATISTA	ARTUR CEZAR DE CARVALHO FERNANDES	Ciências Agrárias	Medicina Veterinária	Medicina Veterinária Preventiva	Doenças Infecciosas de Animais
BERNARDO ENÉAS DE ARAÚJO NASCIMENTO	ARTUR CEZAR DE CARVALHO FERNANDES	Ciências Agrárias	Medicina Veterinária	Medicina Veterinária Preventiva	Doenças Infecciosas de Animais
AUGUSTO DHOUGLAS DE OLIVEIRA JUNIOR	CARLOS AUGUSTO DE OLIVEIRA JÚNIOR	Ciências Agrárias	Medicina Veterinária	Medicina Veterinária Preventiva	Doenças Infecciosas de Animais
KAROLAINY PEREIRA DA SILVA	CARLOS AUGUSTO DE OLIVEIRA JÚNIOR	Ciências Agrárias	Medicina Veterinária	Medicina Veterinária Preventiva	Doenças Infecciosas de Animais
HUGO GABRIEL GOMES FREIRE BEZERRA	FELIPE NAEL SEIXAS	Ciências Agrárias	Medicina Veterinária	Medicina Veterinária Preventiva	Doenças Parasitárias de Animais
WILLIAN MATHAUS DA SILVA SOARES	VALESKA SHELDA PESSOA DE MELO	Ciências Agrárias	Medicina Veterinária	Medicina Veterinária Preventiva	Doenças Parasitárias de Animais
MICHELLY DAYANE ARAUJO DE ALMEIDA	INACIO JOSE CLEMENTINO	Ciências Agrárias	Medicina Veterinária	Medicina Veterinária Preventiva	Epidemiologia Animal
ADONIS FIRMINO DE ASSIS PEREIRA	RICARDO ROMAO GUERRA	Ciências Agrárias	Medicina Veterinária	Medicina Veterinária Preventiva	Epidemiologia Animal
WELLINGTON MARTINS DOS SANTOS JUNIOR	JEANN LEAL DE ARAUJO	Ciências Agrárias	Medicina Veterinária	Patologia Animal	Patologia Aviária
LUIZA CHAVES DA SILVA	JEANN LEAL DE ARAUJO	Ciências Agrárias	Medicina Veterinária	Patologia Animal	Patologia Aviária
ANTONIO DAVI PARNAIBA CANDIDO	JEANN LEAL DE ARAUJO	Ciências Agrárias	Medicina Veterinária	Patologia Animal	Patologia Aviária
PAULO MACHADO DA NOBREGA NETO	JEANN LEAL DE ARAUJO	Ciências Agrárias	Medicina Veterinária	Patologia Animal	Patologia Aviária
SHARA CRISTINA DA SILVA LIMA	CARLOS AUGUSTO ALANIS CLEMENTE	Ciências Agrárias	Medicina Veterinária	Reprodução Animal	Inseminação Artificial Animal
GABRIELA LUCENA DE FARIAS GUIMARAES	NORMA LUCIA DE SOUZA ARAUJO	Ciências Agrárias	Medicina Veterinária	Reprodução Animal	Inseminação Artificial Animal
MARIA DAS GRAÇAS DOS SANTOS	IZABELA SOUZA LOPES RANGEL	Ciências Agrárias	Recursos Florestais e Engenharia Florestal	Silvicultura	Dendrologia
MARCOS VENYCIOS DE ALMEIDA SILVA	EDILSON PAES SARAIVA	Ciências Agrárias	Zootecnia	Ecologia dos Animais Domésticos e Etologia	nan
IZABEL MILENA PEREIRA CAVALCANTI	EDILSON PAES SARAIVA	Ciências Agrárias	Zootecnia	Ecologia dos Animais Domésticos e Etologia	nan
MARIA VANESSA DE ALMEIDA LIMA	EDILSON PAES SARAIVA	Ciências Agrárias	Zootecnia	Ecologia dos Animais Domésticos e Etologia	nan
HALYSON RUAN DOS SANTOS EPITACIO SILVA	JACINARA HODY GURGEL MORAIS LEITE	Ciências Agrárias	Zootecnia	Genética e Melhoramento dos Animais Domésticos	nan
RENALIA SILVA MILITAO	MARCOS ELI BUZANSKAS	Ciências Agrárias	Zootecnia	Genética e Melhoramento dos Animais Domésticos	nan
GILMARIA FIRMO MARINHO	ALEXANDRE LEMOS DE BARROS MOREIRA FILHO	Ciências Agrárias	Zootecnia	Nutrição e Alimentação Animal	Avaliação de Alimentos para Animais
ANTONIO VENICIO DE SOUSA	ALEXANDRE LEMOS DE BARROS MOREIRA FILHO	Ciências Agrárias	Zootecnia	Nutrição e Alimentação Animal	Avaliação de Alimentos para Animais
JOAO LUCAS DE ARAUJO MORAIS	ALEXANDRE LEMOS DE BARROS MOREIRA FILHO	Ciências Agrárias	Zootecnia	Nutrição e Alimentação Animal	Avaliação de Alimentos para Animais
SUZY ELLEN ARAÚJO SANTOS	ARIOSVALDO NUNES DE MEDEIROS	Ciências Agrárias	Zootecnia	Nutrição e Alimentação Animal	Avaliação de Alimentos para Animais
MARIA EDUARDA SILVA DE PAIVA	ARIOSVALDO NUNES DE MEDEIROS	Ciências Agrárias	Zootecnia	Nutrição e Alimentação Animal	Avaliação de Alimentos para Animais
IRIS MARIA LIMA CHAVES	ARIOSVALDO NUNES DE MEDEIROS	Ciências Agrárias	Zootecnia	Nutrição e Alimentação Animal	Avaliação de Alimentos para Animais
JOHN YGOR SANTOS BEZERRA	JULIANA SILVA DE OLIVEIRA	Ciências Agrárias	Zootecnia	Nutrição e Alimentação Animal	Avaliação de Alimentos para Animais
THACYLA BEATRIZ DUARTE CORREIA GOMES	JULIANA SILVA DE OLIVEIRA	Ciências Agrárias	Zootecnia	Nutrição e Alimentação Animal	Avaliação de Alimentos para Animais
SOFIA DANTAS DE QUEIROZ	SEVERINO GONZAGA NETO	Ciências Agrárias	Zootecnia	Nutrição e Alimentação Animal	Avaliação de Alimentos para Animais
DINAH CORREIA DA CUNHA CASTRO	SEVERINO GONZAGA NETO	Ciências Agrárias	Zootecnia	Nutrição e Alimentação Animal	Avaliação de Alimentos para Animais
MARIA CAROLINA AZEVEDO SILVA DE FARIAS	SEVERINO GONZAGA NETO	Ciências Agrárias	Zootecnia	Nutrição e Alimentação Animal	Avaliação de Alimentos para Animais
AMANDA OLIVEIRA XAVIER	SEVERINO GONZAGA NETO	Ciências Agrárias	Zootecnia	Nutrição e Alimentação Animal	Avaliação de Alimentos para Animais
ADJAYNE FERNANDES DA SILVA	SEVERINO GONZAGA NETO	Ciências Agrárias	Zootecnia	Nutrição e Alimentação Animal	Avaliação de Alimentos para Animais
ÁLVARO SMITH GOMES SANTANA	PATRICIA EMILIA NAVES GIVISIEZ	Ciências Agrárias	Zootecnia	Nutrição e Alimentação Animal	nan
ALBERTINO ANTÔNIO DOS SANTOS	ALINE MENDES RIBEIRO	Ciências Agrárias	Zootecnia	Pastagem e Forragicultura	Avaliação Produção e Conservação de Forragens
VANESSA MARIA RODRIGUES DE LIMA	EDSON MAURO SANTOS	Ciências Agrárias	Zootecnia	Pastagem e Forragicultura	Avaliação Produção e Conservação de Forragens
ALDO HENRIQUE DE QUEIROZ ARAUJO	EDSON MAURO SANTOS	Ciências Agrárias	Zootecnia	Pastagem e Forragicultura	Avaliação Produção e Conservação de Forragens
LUCAS BEZERRA BATISTA	GEORGE RODRIGO BELTRAO DA CRUZ	Ciências Agrárias	Zootecnia	Produção Animal	Manejo de Animais
MARILIA MEL DE MELO RODRIGUES CHAVES	RICARDO ROMAO GUERRA	Ciências Agrárias	Zootecnia	Produção Animal	Manejo de Animais
WESLEY LEONARDO ARAUJO PEREIRA	RICARDO ROMAO GUERRA	Ciências Agrárias	Zootecnia	Produção Animal	Manejo de Animais
ANA BEATRIZ AZEVEDO DE MEDEIROS	CARLA APARECIDA SOARES SARAIVA	Ciências Agrárias	Zootecnia	Produção Animal	nan
CLEICE KELLY DOS SANTOS NASCIMENTO	CARLA APARECIDA SOARES SARAIVA	Ciências Agrárias	Zootecnia	Produção Animal	nan
HUMBERTO DE ARAUJO BRITO FILHO	PATRICIA EMILIA NAVES GIVISIEZ	Ciências Agrárias	Zootecnia	Produção Animal	nan
JOSE MARCIO DE SOUZA OLIVEIRA	MARIO LUIZ FARIAS CAVALCANTI	Ciências Biológicas	Botânica	Fisiologia Vegetal	nan
ELIAS PEREIRA DA SILVA	MARIO LUIZ FARIAS CAVALCANTI	Ciências Biológicas	Botânica	Fisiologia Vegetal	nan
JAQUELINY PEREIRA DO MAIA	LENYNEVES DUARTE ALVINO DE ARAUJO	Ciências Biológicas	Ecologia	Ecologia Aplicada	nan
CAIO CEZAR GOUVEIA DA SILVA	LENYNEVES DUARTE ALVINO DE ARAUJO	Ciências Biológicas	Ecologia	Ecologia Aplicada	nan
NATALIA ARAUJO DE SOUSA	HELDER FARIAS PEREIRA DE ARAUJO	Ciências Biológicas	Ecologia	Ecologia de Ecossistemas	nan
MARCOS FELIPE DE SOUSA OLIVEIRA	HELDER FARIAS PEREIRA DE ARAUJO	Ciências Biológicas	Ecologia	Ecologia de Ecossistemas	nan
CLARA FELÍCIA DINIZ BRANDÃO	JOSE DOMINGOS RIBEIRO NETO	Ciências Biológicas	Ecologia	Ecologia de Ecossistemas	nan
JOAO PAULO ROCHA DE ARAUJO	JOSE DOMINGOS RIBEIRO NETO	Ciências Biológicas	Ecologia	Ecologia de Ecossistemas	nan
JOAO VICTOR DA SILVA BARBOSA	ROSEMBERG FERNANDES DE MENEZES	Ciências Biológicas	Ecologia	Ecologia de Ecossistemas	nan
ELYAN FIGUEIREDO DA SILVA CABRAL	VENIA CAMELO DE SOUZA	Ciências Biológicas	Ecologia	Ecologia de Ecossistemas	nan
VINÍCIUS ALVES MARTINS	VENIA CAMELO DE SOUZA	Ciências Biológicas	Ecologia	Ecologia de Ecossistemas	nan
GABRIELA BARBOSA DE FREITAS MONTEIRO	ANA EMILIA BARROS E SILVA	Ciências Biológicas	Genética	Genética Vegetal	nan
GUSTAVO BERNARDO PAIVA DE SOUZA	LOISE ARAUJO COSTA	Ciências Biológicas	Microbiologia	Biologia e Fisiologia dos Microorganismos	Micologia
ELISSANDRA ALVARES CHIBERIO	LUCIANA DINIZ ROLA	Ciências Biológicas	Zoologia	Taxonomia dos Grupos Recentes	nan
LUCIANA MARTINS FERNANDO	YANNA CAROLINA FERREIRA TELES	Ciências da Saúde	Farmácia	Farmacognosia	nan
JOSE EDILSON FIDELIS LAURENTINO	MARIA BETANIA HERMENEGILDO DOS SANTOS	Ciências Exatas e da Terra	Química	Química Analítica	Instrumentação Analítica
SANDRO ROBERTO ASSIS DA SILVA	MARIA BETANIA HERMENEGILDO DOS SANTOS	Ciências Exatas e da Terra	Química	Química Analítica	Instrumentação Analítica
MARIA DA SOLIDADE DE LIMA RAMOS	MARIA BETANIA HERMENEGILDO DOS SANTOS	Ciências Exatas e da Terra	Química	Química Analítica	Instrumentação Analítica
DENNER DE OLIVEIRA SANTOS	LUCIENE CHAVES DE AQUINO	Ciências Humanas	Educação	Fundamentos da Educação	História da Educação
ERICA LOPES BARBOSA	FABRICIA SOUSA MONTENEGRO	Ciências Humanas	Educação	Planejamento e Avaliação Educacional	Política Educacional
LAURA SUÊNIA FELIPE DOS SANTOS	FABRICIA SOUSA MONTENEGRO	Ciências Humanas	Educação	Planejamento e Avaliação Educacional	Política Educacional
EWERTHON NASCIMENTO DE SOUSA	JOSINEIDE DA SILVA BEZERRA	Ciências Humanas	História	História do Brasil	História do Brasil República
PEDRO LUCAS FERREIRA DA SILVA	CLAUDIO GERMANO DOS SANTOS OLIVEIRA	Ciências Sociais Aplicadas	Administração	Administração de Empresas	Administração Financeira
LUCAS SOUZA SANTOS	GUSTAVO CORREIA XAVIER	Ciências Sociais Aplicadas	Administração	Administração de Empresas	Administração Financeira
VANESSA RANGEL INOCENCIO LOPES	CAMILA CRISTINA RODRIGUES SALGADO	Ciências Sociais Aplicadas	Administração	Administração de Empresas	nan
GIRLIANY SANTOS DA SILVA	CAMILA CRISTINA RODRIGUES SALGADO	Ciências Sociais Aplicadas	Administração	Administração de Empresas	nan
ANA CLAUDIA CARDOSO DA COSTA	MILENE FELIX DE ALMEIDA	Ciências Sociais Aplicadas	Administração	Administração de Setores Específicos	nan
WEDJA OLIVEIRA LIMA	GABRIELA TAVARES DOS SANTOS	Ciências Sociais Aplicadas	Administração	Administração Pública	Administração de Pessoal
DIELLE DA SILVA FIRMINO	GABRIELA TAVARES DOS SANTOS	Ciências Sociais Aplicadas	Administração	Administração Pública	Administração de Pessoal
ANKLEY DE LIRA BARBOSA	JOSE MANCINELLI LEDO DO NASCIMENTO	Ciências Sociais Aplicadas	Administração	Administração Pública	Organizações Públicas
ROBERTA LAINY SOUZA SILVA	JOSE MANCINELLI LEDO DO NASCIMENTO	Ciências Sociais Aplicadas	Administração	Administração Pública	Organizações Públicas
ELSON SOUZA CRUZ RAMOS	PATRICIA ARAUJO AMARANTE	Ciências Sociais Aplicadas	Economia	Economia Regional e Urbana	Economia Regional
RAFAEL PEREIRA DA SILVA	MAX ROCHA QUIRINO	Engenharias	Engenharia de Materiais e Metalúrgica	Materiais Não-Metálicos	Cerâmicos
SHAYANNE JOSICLEIDE DE ALMEIDA	ROBSON DE SOUSA NASCIMENTO	Multidisciplinar	Ciências Ambientais	nan	nan
ANA PAULA SOARES ROMÃO	ALEXANDRE EDUARDO DE ARAUJO	Multidisciplinar	Interdisciplinar	Meio Ambiente e Agrárias	nan
PAULO CESAR CARNEIRO BARRETO	ALEXANDRE EDUARDO DE ARAUJO	Multidisciplinar	Interdisciplinar	Meio Ambiente e Agrárias	nan
