Trabalho, Avaliador 1, Avaliador 2, Avaliador 3, Avaliador 4, Similaridade 1, Similaridade 2, Similaridade 3, Similaridade 4
31,paulo sergio rodrigues da silva,dionisio bazeia filho,eugenio ramos bezerra de melo,thierry marcelino passerat de silans,0.38,0.31,0.5,0.45
32,eugenio ramos bezerra de melo,jorge gabriel gomes de souza ramos,marcos cesar santos oria,jorge gabriel gomes de souza ramos,0.31,0.31,0.38,0.31
33,rodrigo cristiano,savio moita pinheiro,claudio gabriel lima junior,mario luiz araujo de almeida vasconcellos,0.28,0.32,0.45,0.51
34,rodrigo cristiano,savio moita pinheiro,rodrigo cristiano,petronio filgueiras de athayde filho,0.61,0.23,0.61,0.54
35,juliana alves vale,petronio filgueiras de athayde filho,juliana alves vale,bruno freitas lira,0.61,0.55,0.61,0.57
36,juliana alves vale,petronio filgueiras de athayde filho,juliana alves vale,mario luiz araujo de almeida vasconcellos,0.45,0.38,0.45,0.53
37,claudio gabriel lima junior,savio moita pinheiro,rodrigo cristiano,petronio filgueiras de athayde filho,0.41,0.04,0.57,0.57
38,juliana alves vale,dayse das neves moreira,rodrigo cristiano,bruno freitas lira,0.54,0.21,0.55,0.57
39,juliana alves vale,bruno freitas lira,claudio gabriel lima junior,mario luiz araujo de almeida vasconcellos,0.23,0.29,0.35,0.37
40,rodrigo cristiano,mario luiz araujo de almeida vasconcellos,rodrigo cristiano,mario luiz araujo de almeida vasconcellos,0.4,0.38,0.4,0.38
41,claudio gabriel lima junior,marcus tullius scotti,claudio gabriel lima junior,petronio filgueiras de athayde filho,0.53,0.37,0.53,0.55
42,ieda maria garcia dos santos,ercules epaminondas de sousa teotonio,fernando jose volpi eusebio de oliveira,ieda maria garcia dos santos,0.46,0.34,0.36,0.46
43,jose geraldo de paiva espinola,ieda maria garcia dos santos,ieda maria garcia dos santos,ercules epaminondas de sousa teotonio,0.36,0.5,0.5,0.47
44,ieda maria garcia dos santos,ercules epaminondas de sousa teotonio,fernando jose volpi eusebio de oliveira,maria gardennia da fonseca,0.29,0.26,0.23,0.23
45,jose geraldo de paiva espinola,julio santos reboucas,jose geraldo de paiva espinola,fernando jose volpi eusebio de oliveira,0.46,0.29,0.46,0.5
46,jose geraldo de paiva espinola,julio santos reboucas,fernando jose volpi eusebio de oliveira,ieda maria garcia dos santos,0.34,0.22,0.47,0.48
47,silmar andrade do monte,lucina rocha sousa,gerd bruno da rocha,silmar andrade do monte,0.39,0.13,0.21,0.39
48,ismael ivan rockenbach,marcia roseane targino de oliveira,ismael ivan rockenbach,laesio pereira martins,0.43,0.14,0.43,0.36
49,wagner de mendonca faustino,silmar andrade do monte,silmar andrade do monte,elizete ventura do monte,0.21,0.25,0.25,0.24
50,wagner de mendonca faustino,gerd bruno da rocha,wagner de mendonca faustino,gerd bruno da rocha,0.39,0.25,0.39,0.25
51,ilda antonieta salata toscano,ricardo alexandre cavalcanti de lima,mario cesar ugulino de araujo,edvan cirino da silva,0.25,0.16,0.48,0.28
52,sherlan guimaraes lemos,williame farias ribeiro,williame farias ribeiro,maria betania hermenegildo dos santos,0.36,0.44,0.44,0.34
53,sherlan guimaraes lemos,ricardo alexandre cavalcanti de lima,marcio jose coelho de pontes,wallace duarte fragoso,0.38,0.19,0.48,0.4
54,marcio jose coelho de pontes,ricardo alexandre cavalcanti de lima,marcio jose coelho de pontes,wallace duarte fragoso,0.36,0.26,0.36,0.38
55,mario cesar ugulino de araujo,williame farias ribeiro,marcio jose coelho de pontes,maria betania hermenegildo dos santos,0.32,0.25,0.28,0.27
56,marcio jose coelho de pontes,wallace duarte fragoso,mario cesar ugulino de araujo,wallace duarte fragoso,0.31,0.45,0.43,0.45
57,mario cesar ugulino de araujo,maria betania hermenegildo dos santos,ilda antonieta salata toscano,sherlan guimaraes lemos,0.4,0.33,0.36,0.45
58,henrique elias pessoa gutierres,christianne maria moura reis,henrique elias pessoa gutierres,christianne maria moura reis,0.12,0.19,0.12,0.19
59,luciana gomes barbosa,venia camelo de souza,cristiane francisca da costa sassi,david holanda de oliveira,0.23,0.24,0.2,0.18
60,zelma glebya maciel quirino,venia camelo de souza,elaine bernini,carlos barros de araujo,0.32,0.34,0.32,0.57
61,adna cristina barbosa de sousa,ana emilia barros e silva,adna cristina barbosa de sousa,ana emilia barros e silva,0.33,0.27,0.33,0.27
62,cosme rafael martinez salinas,rubens teixeira de queiroz,rubens teixeira de queiroz,maria de fatima agra,0.26,0.45,0.45,0.41
63,zelma glebya maciel quirino,manoel bandeira de albuquerque,zelma glebya maciel quirino,maria de fatima agra,0.32,0.42,0.32,0.32
64,rita baltazar de lima,maria de fatima agra,rita baltazar de lima,maria de fatima agra,0.59,0.49,0.59,0.49
65,rubens teixeira de queiroz,maria de fatima agra,rubens teixeira de queiroz,maria de fatima agra,0.59,0.49,0.59,0.49
66,rubens teixeira de queiroz,rita baltazar de lima,rubens teixeira de queiroz,rita baltazar de lima,0.49,0.46,0.49,0.46
67,rubens teixeira de queiroz,rita baltazar de lima,rubens teixeira de queiroz,rita baltazar de lima,0.49,0.49,0.49,0.49
68,marcio bernardino da silva,glaucia marques freitas ribeiro,miodeli nogueira junor,glaucia marques freitas ribeiro,0.48,0.24,0.61,0.24
69,martin lindsey christoffersen,miodeli nogueira junor,ricardo de souza rosa,marcio bernardino da silva,0.33,0.48,0.53,0.48
70,miodeli nogueira junor,robson tamar da costa ramos,martin lindsey christoffersen,marcio bernardino da silva,0.53,0.36,0.54,0.48
71,miodeli nogueira junor,robson tamar da costa ramos,miodeli nogueira junor,robson tamar da costa ramos,0.54,0.49,0.54,0.49
72,ricardo de souza rosa,martin lindsey christoffersen,robson tamar da costa ramos,marcio bernardino da silva,0.61,0.54,0.55,0.48
73,martin lindsey christoffersen,marcio bernardino da silva,martin lindsey christoffersen,marcio bernardino da silva,0.49,0.45,0.49,0.45
74,ricardo de souza rosa,helder farias pereira de araujo,miodeli nogueira junor,robson tamar da costa ramos,0.48,0.36,0.48,0.45
75,patricia mirella da silva scardua,alda lucia de lima amancio,patricia mirella da silva scardua,alda lucia de lima amancio,0.23,0.29,0.23,0.29
76,celso feitosa martins,martin lindsey christoffersen,celso feitosa martins,martin lindsey christoffersen,0.35,0.38,0.35,0.38
77,celso feitosa martins,glaucia marques freitas ribeiro,martin lindsey christoffersen,miodeli nogueira junor,0.24,0.2,0.31,0.41
78,alexandre ramlo torre palma,helder farias pereira de araujo,denise dias da cruz,frederico gustavo rodrigues franca,0.07,0.49,0.42,0.49
79,gustavo henrique calazans vieira,venia camelo de souza,alexandre ramlo torre palma,luciana gomes barbosa,0.32,0.49,0.32,0.33
80,george emmanuel cavalcanti de miranda,alexandre ramlo torre palma,gustavo henrique calazans vieira,venia camelo de souza,0.1,0.07,0.32,0.41
81,elaine bernini,venia camelo de souza,ana carolina figueiredo lacerda sakamoto,elaine bernini,0.35,0.36,0.51,0.35
82,nadjacleia vilar almeida,denise dias da cruz,nadjacleia vilar almeida,venia camelo de souza,0.48,0.21,0.48,0.36
83,nadjacleia vilar almeida,antonio christian de andrade moura,nadjacleia vilar almeida,frederico gustavo rodrigues franca,0.29,0.08,0.29,0.25
84,joel silva dos santos,carlos barros de araujo,joel silva dos santos,braulio almeida santos,0.48,0.16,0.48,0.29
85,joel silva dos santos,carlos barros de araujo,nadjacleia vilar almeida,antonio christian de andrade moura,0.21,0.18,0.37,0.3
86,nadjacleia vilar almeida,denise dias da cruz,joel silva dos santos,frederico gustavo rodrigues franca,0.16,0.18,0.34,0.48
87,joel silva dos santos,denise dias da cruz,joel silva dos santos,carlos barros de araujo,0.35,0.31,0.35,0.48
88,neusa collet,belarmino barbosa lira,valdecir becker,belarmino barbosa lira,0.07,0.45,0.45,0.45
89,tatiane santi gadelha,clayton zambeli oliveira,tatiane santi gadelha,clayton zambeli oliveira,0.45,0.35,0.45,0.35
90,carlos alberto de almeida gadelha,clayton zambeli oliveira,carlos alberto de almeida gadelha,clayton zambeli oliveira,0.45,0.36,0.45,0.36
91,tatiane santi gadelha,carlos alberto de almeida gadelha,ian porto gurgel do amaral,0.25,0.36,0.25
92,carlos alberto de almeida gadelha,darlene camati persuhn,tatiane santi gadelha,darlene camati persuhn,0.4,0.21,0.53,0.21
93,frederico barbosa de sousa,iaponira cortez costa de oliveira,neir antunes paes,luciana andrade dos passos,0.23,0.17,0.27,0.34
94,bagnolia araujo da silva,diego nunes guedes,bagnolia araujo da silva,diego nunes guedes,0.69,0.36,0.69,0.36
95,fabiana de andrade cavalcante,marianna vieira sobral castello branco,fabiana de andrade cavalcante,diego nunes guedes,0.69,0.21,0.69,0.42
96,evandro leite de souza,flavia emilia leite de lima ferreira,nelson torro alves,natanael antonio dos santos,0.31,0.27,0.43,0.23
97,maria do socorro de franca silva,rafael de almeida travassos,maria do socorro de franca silva,rafael de almeida travassos,0.57,0.32,0.57,0.32
98,islania giselia albuquerque goncalves,rafael de almeida travassos,islania giselia albuquerque goncalves,rafael de almeida travassos,0.57,0.36,0.57,0.36
99,marcia regina piuvezam,giciane carvalho vieira,marcia regina piuvezam,giciane carvalho vieira,0.55,0.37,0.55,0.37
100,marcia regina piuvezam,giciane carvalho vieira,marcia regina piuvezam,tatjana keesen de souza lima clemente,0.7,0.51,0.7,0.55
101,sandra rodrigues mascarenhas,giciane carvalho vieira,sandra rodrigues mascarenhas,giciane carvalho vieira,0.7,0.54,0.7,0.54
102,sandra rodrigues mascarenhas,giciane carvalho vieira,sandra rodrigues mascarenhas,giciane carvalho vieira,0.63,0.55,0.63,0.55
103,sandra rodrigues mascarenhas,marcia regina piuvezam,sandra rodrigues mascarenhas,marcia regina piuvezam,0.51,0.55,0.51,0.55
104,hamilcar jose almeida filgueira,rita de cassia da silveira e sa,sandra rodrigues mascarenhas,marcia regina piuvezam,0.4,-0.01,0.55,0.54
105,alessandra sousa braz caldas de andrade,esther bastos palitot,jose soares do nascimento,flavia cristina fernandes pimenta,0.15,0.4,0.41,0.38
106,maria do socorro vieira pereira,thompson lopes de oliveira,maria do socorro vieira pereira,thompson lopes de oliveira,0.56,0.53,0.56,0.53
107,maria do socorro vieira pereira,thompson lopes de oliveira,maria do socorro vieira pereira,thompson lopes de oliveira,0.48,0.58,0.48,0.58
108,krystyna gorlach lira,edeltrudes de oliveira lima,krystyna gorlach lira,thompson lopes de oliveira,0.56,0.56,0.56,0.59
109,krystyna gorlach lira,edeltrudes de oliveira lima,maria do socorro vieira pereira,edeltrudes de oliveira lima,0.58,0.52,0.59,0.52
110,krystyna gorlach lira,thompson lopes de oliveira,maria do socorro vieira pereira,thompson lopes de oliveira,0.45,0.52,0.56,0.52
111,caliandra maria bezerra luna lima,cristine hirsch monteiro,caliandra maria bezerra luna lima,cristine hirsch monteiro,0.47,0.46,0.47,0.46
112,marilia gabriela dos santos cavalcanti,cristine hirsch monteiro,marilia gabriela dos santos cavalcanti,cristine hirsch monteiro,0.47,0.6,0.47,0.6
113,marilia gabriela dos santos cavalcanti,caliandra maria bezerra luna lima,marilia gabriela dos santos cavalcanti,caliandra maria bezerra luna lima,0.46,0.6,0.46,0.6
114,marilia gabriela dos santos cavalcanti,caliandra maria bezerra luna lima,marilia gabriela dos santos cavalcanti,caliandra maria bezerra luna lima,0.3,0.4,0.3,0.4
115,cristine hirsch monteiro,neir antunes paes,caliandra maria bezerra luna lima,cristine hirsch monteiro,0.32,-0.02,0.3,0.32
116,heber pimentel gomes,joacio de araujo morais junior,heber pimentel gomes,joacio de araujo morais junior,0.4,0.42,0.4,0.42
117,roberto leal pimentel,angelo vieira mendonca,roberto leal pimentel,angelo vieira mendonca,0.33,0.39,0.33,0.39
118,andre jacomel torii,angelo vieira mendonca,andre jacomel torii,angelo vieira mendonca,0.33,0.46,0.33,0.46
119,andre jacomel torii,angelo vieira mendonca,andre jacomel torii,angelo vieira mendonca,0.21,0.44,0.21,0.44
120,roberto leal pimentel,angelo vieira mendonca,andre jacomel torii,roberto leal pimentel,0.43,0.31,0.34,0.43
121,andre jacomel torii,roberto leal pimentel,andre jacomel torii,roberto leal pimentel,0.39,0.46,0.39,0.46
122,andre jacomel torii,heber pimentel gomes,roberto leal pimentel,angelo vieira mendonca,0.23,0.32,0.42,0.39
123,roberto leal pimentel,celso augusto guimaraes santos,givanildo alves de azeredo,celso augusto guimaraes santos,0.27,0.25,0.33,0.25
124,ricardo almeida de melo,celso augusto guimaraes santos,givanildo alves de azeredo,celso augusto guimaraes santos,0.25,0.21,0.4,0.21
125,kelly cristiane gomes da silva,severino jackson guedes de lima,juliano elvis oliveira,severino jackson guedes de lima,0.36,-0.05,0.54,-0.05
126,amelia severino ferreira e santos,max rocha quirino,fabiana de carvalho fim,heber sivini ferreira,0.38,0.25,0.55,0.54
127,itamara farias leite,flavia de medeiros aquino,amelia severino ferreira e santos,heber sivini ferreira,0.05,0.29,0.53,0.55
128,ricardo peixoto suassuna dutra,heber sivini ferreira,fabiana de carvalho fim,flavia de medeiros aquino,0.5,0.43,0.53,0.51
129,liszandra fernanda araujo campos,debora albuquerque vieira,eliton souto de medeiros,fabiana de carvalho fim,0.31,0.32,0.49,0.53
130,juliano elvis oliveira,jose felix da silva neto,ricardo peixoto suassuna dutra,flavia de medeiros aquino,0.45,0.15,0.54,0.49
131,ramon alves torquato,heber sivini ferreira,eliton souto de medeiros,juliano elvis oliveira,0.38,0.38,0.53,0.5
132,liszandra fernanda araujo campos,flavia de medeiros aquino,liszandra fernanda araujo campos,ricardo peixoto suassuna dutra,0.53,0.36,0.53,0.57
133,amelia severino ferreira e santos,itamara farias leite,liszandra fernanda araujo campos,fabiana de carvalho fim,0.35,0.31,0.47,0.48
134,ramon alves torquato,itamara farias leite,liszandra fernanda araujo campos,flavia de medeiros aquino,0.35,0.26,0.5,0.55
135,euler cassio tavares de macedo,antonio augusto lisboa de souza,cleonilson protasio de souza,fabiano salvadori,0.42,0.07,0.56,0.51
136,cleonilson protasio de souza,lucas vinicius hartmann,ruy alberto pisani altafim,lucas vinicius hartmann,0.33,0.13,0.41,0.13
137,cleonilson protasio de souza,lucas vinicius hartmann,euler cassio tavares de macedo,lucas vinicius hartmann,0.49,0.26,0.41,0.26
138,ruy alberto pisani altafim,lucas vinicius hartmann,isaac soares de freitas,simplicio arnaud da silva,0.49,0.14,0.58,0.23
139,isaac soares de freitas,romero leandro andersen,alberto soto lock,darlan alexandria fernandes,0.5,0.31,0.51,0.61
140,nady rocha,romero leandro andersen,alberto soto lock,darlan alexandria fernandes,0.5,0.31,0.44,0.45
141,fabiano salvadori,darlan alexandria fernandes,nady rocha,darlan alexandria fernandes,0.44,0.55,0.51,0.55
142,alberto soto lock,darlan alexandria fernandes,nady rocha,alberto soto lock,0.44,0.38,0.47,0.44
143,nady rocha,fabiano salvadori,nady rocha,alberto soto lock,0.61,0.38,0.61,0.55
144,gilberto augusto amado moreira,antonio pralon ferreira leite,gilberto augusto amado moreira,antonio pralon ferreira leite,0.37,0.38,0.37,0.38
145,gilberto augusto amado moreira,antonio pralon ferreira leite,gilberto augusto amado moreira,antonio pralon ferreira leite,0.42,0.39,0.42,0.39
146,joao alves de lima,antonio pralon ferreira leite,joao alves de lima,antonio pralon ferreira leite,0.42,0.24,0.42,0.24
147,zaqueu ernesto da silva,emerson freitas jaguaribe,zaqueu ernesto da silva,emerson freitas jaguaribe,0.24,0.18,0.24,0.18
148,gilberto augusto amado moreira,jose mauricio alves de matos gurgel,francisco antonio belo,jose mauricio alves de matos gurgel,0.4,0.57,0.36,0.57
149,nady rocha,alberto soto lock,carlos antonio cabral dos santos,jose mauricio alves de matos gurgel,0.36,0.38,0.36,0.44
150,monica carvalho,carlos antonio cabral dos santos,carlos antonio cabral dos santos,francisco antonio belo,0.11,0.57,0.57,0.44
151,simplicio arnaud da silva,raimundo aprigio de menezes junior,francisco antonio belo,raimundo aprigio de menezes junior,0.17,0.08,0.59,0.08
152,joao alves de lima,jose felix da silva neto,carlos antonio cabral dos santos,jose mauricio alves de matos gurgel,0.33,0.04,0.44,0.47
153,abel cavalcante lima filho,jose felix da silva neto,jose mauricio alves de matos gurgel,abel cavalcante lima filho,0.41,0.01,0.35,0.41
154,mercia melo de almeida mota,josilene de assis cavalcante,mercia melo de almeida mota,josilene de assis cavalcante,0.33,0.35,0.33,0.35
155,vivian stumpf madeira,mercia melo de almeida mota,vivian stumpf madeira,josilene de assis cavalcante,0.34,0.26,0.34,0.48
156,flavio luiz honorato da silva,josilene de assis cavalcante,vivian stumpf madeira,josilene de assis cavalcante,0.26,0.37,0.33,0.37
157,silvia layara floriani andersen,josilene de assis cavalcante,vivian stumpf madeira,raul rosenhaim,0.14,0.25,0.33,0.34
158,fabiola dias da silva curbelo,rennio felix de sena,leopoldo oswaldo alcazar rojas,fabiola dias da silva curbelo,0.47,0.33,0.45,0.47
159,fabiola dias da silva curbelo,rennio felix de sena,fabiola dias da silva curbelo,rennio felix de sena,0.39,0.39,0.39,0.39
160,nataly albuquerque dos santos,raul rosenhaim,leopoldo oswaldo alcazar rojas,nataly albuquerque dos santos,0.4,0.24,0.46,0.4
161,rennio felix de sena,raul rosenhaim,nataly albuquerque dos santos,rennio felix de sena,0.42,0.32,0.47,0.42
162,nataly albuquerque dos santos,fabiola dias da silva curbelo,fabiola dias da silva curbelo,joelma morais ferreira,0.39,0.42,0.42,0.61
163,silvia layara floriani andersen,genaro zenaide clericuzi,raul rosenhaim,silvia layara floriani andersen,0.28,0.1,0.34,0.28
164,silvia layara floriani andersen,genaro zenaide clericuzi,joelma morais ferreira,silvia layara floriani andersen,0.2,0.16,0.34,0.2
165,cristiano das neves almeida,ricardo de aragao,cristiano das neves almeida,ricardo de aragao,0.34,0.09,0.34,0.09
166,tarciso cabral da silva,ricardo de aragao,tarciso cabral da silva,ricardo de aragao,0.34,0.07,0.34,0.07
167,cristiano das neves almeida,gilson barbosa athayde junior,gilson barbosa athayde junior,ricardo de aragao,0.14,0.29,0.29,0.26
168,tarciso cabral da silva,claudia coutinho nobrega,tarciso cabral da silva,claudia coutinho nobrega,0.3,0.29,0.3,0.29
169,carmem lucia moreira gadelha,elisangela maria rodrigues rocha,carmem lucia moreira gadelha,elisangela maria rodrigues rocha,0.46,0.25,0.46,0.25
170,adriano rolim da paz,elisangela maria rodrigues rocha,adriano rolim da paz,elisangela maria rodrigues rocha,0.46,0.11,0.46,0.11
171,maria silene alexandre leite,ricardo moreira da silva,maria silene alexandre leite,ricardo moreira da silva,0.32,0.23,0.32,0.23
172,maria silene alexandre leite,ricardo moreira da silva,ricardo moreira da silva,claudia fabiana gohr,0.21,0.33,0.33,0.26
173,luciano costa santos,maria de lourdes barreto gomes,luciano costa santos,ricardo moreira da silva,0.3,0.1,0.3,0.29
174,maria de lourdes barreto gomes,claudia fabiana gohr,maria de lourdes barreto gomes,maria silene alexandre leite,0.33,0.32,0.33,0.29
175,luciano costa santos,maria de lourdes barreto gomes,maria de lourdes barreto gomes,ricardo moreira da silva,0.2,0.26,0.26,0.32
176,luiz bueno da silva,luiz moreira coelho junior,luciano costa santos,claudia fabiana gohr,0.29,0.3,0.32,0.34
177,maria de lourdes barreto gomes,fabio morais borges,claudia fabiana gohr,fabio morais borges,0.31,0.23,0.49,0.23
178,luciano costa santos,maria silene alexandre leite,luciano costa santos,anand subramanian,0.43,0.37,0.43,0.3
179,luciano costa santos,luiz moreira coelho junior,luciano costa santos,luiz moreira coelho junior,0.32,0.28,0.32,0.28
180,ana luiza mattos braga,tadeu antonio de azevedo melo,ronei marcos de moraes,rita de cassia da silveira e sa,0.24,0.4,0.34,0.35
181,eutilia andrade medeiros freire,fatima maria macedo dos santos,eutilia andrade medeiros freire,esther bastos palitot,0.39,0.07,0.39,0.41
182,fatima maria macedo dos santos,jose eymard moraes de medeiros filho,rosalia gouveia filizola,cristianne da silva alexandre,0.12,0.34,0.32,0.4
183,maurus marques de almeida holanda,jader freire sobral filho,lucio roberto cancado castellano,maurus marques de almeida holanda,0.44,0.12,0.41,0.44
184,juliana sousa soares de araujo,monica souza de miranda henriques,rilva lopes de sousa munoz,jose eymard moraes de medeiros filho,0.24,0.04,0.46,0.57
185,juliana sousa soares de araujo,jose eymard moraes de medeiros filho,lucio roberto cancado castellano,esther bastos palitot,0.4,0.35,0.39,0.49
186,eutilia andrade medeiros freire,cristianne da silva alexandre,alessandra sousa braz caldas de andrade,jose eymard moraes de medeiros filho,0.24,0.15,0.47,0.45
187,rilva lopes de sousa munoz,esther bastos palitot,jose soares do nascimento,rilva lopes de sousa munoz,0.47,0.31,0.4,0.47
188,rosalia gouveia filizola,haroldo de lucena bezerra,haroldo de lucena bezerra,gilka paiva oliveira costa,0.2,0.49,0.49,0.42
189,eduardo sergio soares sousa,gilka paiva oliveira costa,jose soares do nascimento,eduardo sergio soares sousa,0.29,0.32,0.46,0.29
190,claudio sergio medeiros paiva,gilka paiva oliveira costa,claudio sergio medeiros paiva,gilka paiva oliveira costa,0.29,0.53,0.29,0.53
191,bianca marques santiago,dayane franco barros mangueira leite,andre ulisses dantas batista,hugo lemes carlo,0.41,0.21,0.98,0.48
192,maria sueli marques soares,luciane queiroz mota de lima,paulo rogerio ferreti bonan,hugo lemes carlo,0.41,0.44,0.98,0.49
193,paulo rogerio ferreti bonan,andre ulisses dantas batista,paulo rogerio ferreti bonan,maria sueli marques soares,0.44,0.44,0.44,0.4
194,maria sueli marques soares,luciane queiroz mota de lima,paulo rogerio ferreti bonan,andre ulisses dantas batista,0.2,0.2,0.48,0.49
195,andre ulisses dantas batista,luciane queiroz mota de lima,andre ulisses dantas batista,hugo lemes carlo,0.41,0.23,0.41,0.4
196,ana maria gondim valenca,eliane batista de medeiros serpa,ana maria gondim valenca,eliane batista de medeiros serpa,0.42,0.18,0.42,0.18
197,fabiola galbiatti de carvalho carlo,eliane batista de medeiros serpa,fabiola galbiatti de carvalho carlo,eliane batista de medeiros serpa,0.42,0.15,0.42,0.15
198,bianca marques santiago,ednara mercia fernandes de andrade,fabiola galbiatti de carvalho carlo,bianca marques santiago,0.38,0.22,0.37,0.38
199,paulo rogerio ferreti bonan,dayane franco barros mangueira leite,heloisa helena pinho veloso,eliane batista de medeiros serpa,0.41,0.03,0.38,0.49
200,patricia moreira rabello,wilton wilney nascimento padilha,fabio correia sampaio,roberta moreira franca,0.19,0.33,0.32,0.46
201,andressa feitosa bezerra de oliveira,fabio correia sampaio,wilton wilney nascimento padilha,andrea gadelha ribeiro targino,0.19,0.3,0.51,0.41
202,roberta moreira franca,wilton wilney nascimento padilha,andressa feitosa bezerra de oliveira,wilton wilney nascimento padilha,0.26,0.42,0.32,0.42
203,roberta moreira franca,andrea gadelha ribeiro targino,wilton wilney nascimento padilha,andrea gadelha ribeiro targino,0.2,0.38,0.48,0.38
204,fabio correia sampaio,wilton wilney nascimento padilha,andressa feitosa bezerra de oliveira,patricia moreira rabello,0.26,0.38,0.46,0.33
205,patricia moreira rabello,fabio correia sampaio,fabio correia sampaio,roberta moreira franca,0.38,0.48,0.48,0.34
206,rosangela marques duarte,ana karina maciel de andrade,rosangela marques duarte,ana karina maciel de andrade,0.26,0.09,0.26,0.09
207,rosangela marques duarte,ana karina maciel de andrade,robinsom viegas montenegro,rosangela marques duarte,0.28,0.26,0.39,0.28
