Trabalho, Avaliador 1, Avaliador 2, Avaliador 3, Avaliador 4, Similaridade 1, Similaridade 2, Similaridade 3, Similaridade 4
56,jose geraldo de paiva espinola,petronio filgueiras de athayde filho,claudio gabriel lima junior,savio moita pinheiro,0.42,0.52,0.6,0.52
57,karen cacilda weber,silmar andrade do monte,ercules epaminondas de sousa teotonio,sherlan guimaraes lemos,0.36,0.28,0.44,0.4
58,fernando jose volpi eusebio de oliveira,williame farias ribeiro,edvan cirino da silva,marcio jose coelho de pontes,0.36,0.25,0.45,0.53
59,jose geraldo de paiva espinola,marcio jose coelho de pontes,marcio jose coelho de pontes,sherlan guimaraes lemos,0.26,0.62,0.62,0.56
60,antonia lucia de souza,mario luiz araujo de almeida vasconcellos,liliana de fatima bezerra lira de pontes,ricardo alexandre cavalcanti de lima,0.4,0.18,0.6,0.54
61,elizete ventura do monte,karen cacilda weber,karen cacilda weber,liliana de fatima bezerra lira de pontes,0.37,0.53,0.53,0.62
62,jose geraldo de paiva espinola,savio moita pinheiro,claudia de oliveira cunha,mario cesar ugulino de araujo,0.14,0.22,0.29,0.34
63,antonia lucia de souza,wagner de mendonca faustino,liliana de fatima bezerra lira de pontes,ricardo alexandre cavalcanti de lima,0.32,0.35,0.51,0.45
64,fabio pedrosa lins silva,juliana alves vale,dayse das neves moreira,fernando jose volpi eusebio de oliveira,0.37,0.45,0.57,0.63
65,antonia lucia de souza,wagner de mendonca faustino,antonia lucia de souza,ilda antonieta salata toscano,0.41,0.37,0.41,0.46
66,antonia lucia de souza,julio santos reboucas,marcus tullius scotti,silmar andrade do monte,0.28,0.25,0.34,0.47
67,ieda maria garcia dos santos,mario cesar ugulino de araujo,claudio gabriel lima junior,petronio filgueiras de athayde filho,0.46,0.34,0.6,0.58
68,ieda maria garcia dos santos,marcus tullius scotti,claudio gabriel lima junior,mario luiz araujo de almeida vasconcellos,0.52,0.22,0.63,0.58
69,edvan cirino da silva,mario luiz araujo de almeida vasconcellos,marcio jose coelho de pontes,maria betania hermenegildo dos santos,0.4,0.22,0.54,0.45
70,claudio gabriel lima junior,williame farias ribeiro,dayse das neves moreira,petronio filgueiras de athayde filho,0.44,0.35,0.6,0.55
71,elizete ventura do monte,mario luiz araujo de almeida vasconcellos,fausthon fred da silva,juliana alves vale,0.27,0.36,0.51,0.47
72,ieda maria garcia dos santos,maria gardennia da fonseca,fabio pedrosa lins silva,juliana alves vale,0.25,0.38,0.49,0.52
73,fabio pedrosa lins silva,petronio filgueiras de athayde filho,liliana de fatima bezerra lira de pontes,williame farias ribeiro,0.24,0.3,0.56,0.58
74,claudio gabriel lima junior,petronio filgueiras de athayde filho,dayse das neves moreira,ilda antonieta salata toscano,0.39,0.37,0.5,0.47
75,fabio pedrosa lins silva,liliana de fatima bezerra lira de pontes,ercules epaminondas de sousa teotonio,mario cesar ugulino de araujo,0.32,0.27,0.48,0.47
76,jose geraldo de paiva espinola,karen cacilda weber,ercules epaminondas de sousa teotonio,jose geraldo de paiva espinola,0.61,0.41,0.67,0.61
77,ilda antonieta salata toscano,savio moita pinheiro,jose geraldo de paiva espinola,juliana alves vale,0.29,0.46,0.58,0.58
78,fernando jose volpi eusebio de oliveira,ricardo alexandre cavalcanti de lima,gerd bruno da rocha,sherlan guimaraes lemos,0.3,0.22,0.48,0.58
79,max furrier,richarde marques da silva,max furrier,richarde marques da silva,0.39,0.46,0.39,0.46
80,jonas otaviano praca de souza,richarde marques da silva,pedro costa guedes vianna,richarde marques da silva,0.34,0.41,0.4,0.41
81,emilia de rodat fernandes moreira,marcelo de oliveira moura,pedro costa guedes vianna,richarde marques da silva,0.29,0.34,0.41,0.36
82,joel silva dos santos,richarde marques da silva,francisco borja ruiz reverter,pedro costa guedes vianna,0.38,0.34,0.39,0.41
83,max furrier,richarde marques da silva,jonas otaviano praca de souza,max furrier,0.41,0.34,0.41,0.41
84,jonas otaviano praca de souza,max furrier,francisco borja ruiz reverter,joel silva dos santos,0.35,0.34,0.46,0.41
85,joel silva dos santos,jonas otaviano praca de souza,joel silva dos santos,jonas otaviano praca de souza,0.35,0.36,0.35,0.36
86,david holanda de oliveira,george emmanuel cavalcanti de miranda,david holanda de oliveira,george emmanuel cavalcanti de miranda,0.42,0.33,0.42,0.33
87,cristiane francisca da costa sassi,george emmanuel cavalcanti de miranda,cristiane francisca da costa sassi,george emmanuel cavalcanti de miranda,0.42,0.47,0.42,0.47
88,cristiane francisca da costa sassi,david holanda de oliveira,cristiane francisca da costa sassi,david holanda de oliveira,0.33,0.47,0.33,0.47
89,belarmino barbosa lira,neir antunes paes,mailson monteiro do rego,lucio roberto cancado castellano,0.21,0.03,0.39,0.53
90,carlos antonio de sousa pires,alexandre ramlo torre palma,ulrich vasconcelos da rocha gomes,anne evelyne franco de souza,0.29,0.09,0.38,0.44
91,ana flavia uzeda dos santos macambira,joel silva dos santos,anne evelyne franco de souza,edson mauro santos,0.14,0.15,0.51,0.52
92,evelise marcia locatelli de souza,zelma glebya maciel quirino,evelise marcia locatelli de souza,zelma glebya maciel quirino,0.3,0.38,0.3,0.38
93,alex da silva barbosa,maria de fatima agra,maria de fatima agra,maria regina de vasconcellos barbosa,0.3,0.44,0.44,0.36
94,maria regina de vasconcellos barbosa,zelma glebya maciel quirino,maria regina de vasconcellos barbosa,zelma glebya maciel quirino,0.56,0.46,0.56,0.46
95,maria regina de vasconcellos barbosa,zelma glebya maciel quirino,evelise marcia locatelli de souza,maria regina de vasconcellos barbosa,0.47,0.39,0.44,0.47
96,maria de fatima agra,zelma glebya maciel quirino,alex da silva barbosa,maria de fatima agra,0.56,0.33,0.39,0.56
97,maria de fatima agra,maria regina de vasconcellos barbosa,alex da silva barbosa,maria de fatima agra,0.33,0.26,0.36,0.33
98,maria de fatima agra,maria regina de vasconcellos barbosa,alex da silva barbosa,maria de fatima agra,0.46,0.33,0.38,0.46
99,ana carolina figueiredo lacerda sakamoto,helder farias pereira de araujo,celso feitosa martins,miodeli nogueira junor,0.44,0.45,0.55,0.56
100,alan loures ribeiro,venia camelo de souza,alexandre vasconcellos,celso feitosa martins,0.37,0.39,0.44,0.48
101,helder farias pereira de araujo,martin lindsey christoffersen,helder farias pereira de araujo,miodeli nogueira junor,0.44,0.37,0.44,0.45
102,martin lindsey christoffersen,ricardo de souza rosa,alexandre vasconcellos,ana carolina figueiredo lacerda sakamoto,0.34,0.34,0.55,0.48
103,celso feitosa martins,miodeli nogueira junor,celso feitosa martins,miodeli nogueira junor,0.52,0.49,0.52,0.49
104,alexandre vasconcellos,celso feitosa martins,alexandre vasconcellos,ricardo de souza rosa,0.42,0.37,0.42,0.45
105,celso feitosa martins,helder farias pereira de araujo,alexandre vasconcellos,helder farias pereira de araujo,0.45,0.49,0.56,0.49
106,alexandre vasconcellos,helder farias pereira de araujo,martin lindsey christoffersen,miodeli nogueira junor,0.32,0.28,0.45,0.38
107,daniel oliveira mesquita,gustavo henrique calazans vieira,antonio christian de andrade moura,fabiana lopes rocha,0.38,0.38,0.42,0.52
108,alan loures ribeiro,gustavo henrique calazans vieira,fabiana lopes rocha,venia camelo de souza,0.42,0.45,0.47,0.48
109,ana carolina figueiredo lacerda sakamoto,fabiana lopes rocha,alan loures ribeiro,gustavo henrique calazans vieira,0.23,0.26,0.31,0.32
110,denise dias da cruz,venia camelo de souza,alan loures ribeiro,denise dias da cruz,0.49,0.4,0.38,0.49
111,antonio christian de andrade moura,maria cristina basilio crispim da silva,nadjacleia vilar almeida,venia camelo de souza,0.43,0.39,0.32,0.49
112,antonio christian de andrade moura,gustavo henrique calazans vieira,daniel oliveira mesquita,venia camelo de souza,0.42,0.38,0.46,0.66
113,daniel oliveira mesquita,gustavo henrique calazans vieira,daniel oliveira mesquita,maria cristina basilio crispim da silva,0.49,0.43,0.49,0.42
114,daniel oliveira mesquita,maria cristina basilio crispim da silva,alan loures ribeiro,antonio christian de andrade moura,0.43,0.31,0.52,0.47
115,denise dias da cruz,venia camelo de souza,antonio christian de andrade moura,fabiana lopes rocha,0.38,0.45,0.45,0.45
116,antonio christian de andrade moura,denise dias da cruz,denise dias da cruz,fabiana lopes rocha,0.32,0.43,0.43,0.45
117,ana carolina figueiredo lacerda sakamoto,venia camelo de souza,denise dias da cruz,venia camelo de souza,0.3,0.45,0.42,0.45
118,antonio christian de andrade moura,maria cristina basilio crispim da silva,alan loures ribeiro,daniel oliveira mesquita,0.28,0.15,0.3,0.32
119,denise dias da cruz,nadjacleia vilar almeida,daniel oliveira mesquita,denise dias da cruz,0.66,0.23,0.49,0.66
120,eulampio jose da silva neto,frederico barbosa de sousa,eulampio jose da silva neto,frederico barbosa de sousa,0.3,0.45,0.3,0.45
121,ana karine farias da trindade,frederico barbosa de sousa,ana karine farias da trindade,frederico barbosa de sousa,0.3,0.4,0.3,0.4
122,ana karine farias da trindade,frederico barbosa de sousa,ana karine farias da trindade,frederico barbosa de sousa,0.28,0.38,0.28,0.38
123,ana karine farias da trindade,eulampio jose da silva neto,ana karine farias da trindade,eulampio jose da silva neto,0.45,0.4,0.45,0.4
124,dayse das neves moreira,josiane de campos cruz,josiane de campos cruz,caliandra maria bezerra luna lima,0.1,0.6,0.6,0.6
125,alexandre vasconcellos,josiane de campos cruz,josiane de campos cruz,fernando guilherme perazzo costa,0.3,0.4,0.4,0.63
126,claudio gabriel lima junior,camille de moura balarini,camille de moura balarini,marcia regina piuvezam,0.3,0.6,0.6,0.55
127,carlos alberto de almeida gadelha,tatiane santi gadelha,darlene camati persuhn,juscelio donizete cardoso,0.33,0.33,0.29,0.36
128,alex da silva barbosa,juscelio donizete cardoso,juscelio donizete cardoso,tatiane santi gadelha,0.37,0.51,0.51,0.5
129,juscelio donizete cardoso,tatiane santi gadelha,darlene camati persuhn,juliane alves,0.4,0.44,0.3,0.47
130,claudio sergio medeiros paiva,lucio roberto cancado castellano,carlos alberto de almeida gadelha,juliane alves,0.27,0.4,0.3,0.35
131,carlos alberto de almeida gadelha,juscelio donizete cardoso,juscelio donizete cardoso,tatiane santi gadelha,0.49,0.54,0.54,0.55
132,juliane alves,tatiane santi gadelha,carlos alberto de almeida gadelha,tatiane santi gadelha,0.54,0.71,0.49,0.71
133,juliane alves,tatiane santi gadelha,carlos alberto de almeida gadelha,tatiane santi gadelha,0.54,0.69,0.51,0.69
134,alex da silva barbosa,juliane alves,juliane alves,juscelio donizete cardoso,0.37,0.55,0.55,0.71
135,carlos alberto de almeida gadelha,juscelio donizete cardoso,carlos alberto de almeida gadelha,juliane alves,0.5,0.51,0.5,0.55
136,cicero francisco bezerra felipe,reinaldo nobrega de almeida,edeltrudes de oliveira lima,fabiana de andrade cavalcante,0.26,0.26,0.38,0.43
137,islania giselia albuquerque goncalves,robson cavalcante veras,fabiana de andrade cavalcante,robson cavalcante veras,0.46,0.55,0.69,0.55
138,edeltrudes de oliveira lima,reinaldo nobrega de almeida,fabiana de andrade cavalcante,robson cavalcante veras,0.31,0.46,0.79,0.55
139,edeltrudes de oliveira lima,maria do socorro de franca silva,isac almeida de medeiros,islania giselia albuquerque goncalves,0.4,0.48,0.53,0.48
140,bagnolia araujo da silva,islania giselia albuquerque goncalves,cicero francisco bezerra felipe,marianna vieira sobral castello branco,0.36,0.39,0.4,0.53
141,reinaldo nobrega de almeida,robson cavalcante veras,bagnolia araujo da silva,maria do socorro de franca silva,0.52,0.51,0.78,0.65
142,anne evelyne franco de souza,maria do socorro de franca silva,bagnolia araujo da silva,isac almeida de medeiros,0.31,0.53,0.79,0.58
143,cicero francisco bezerra felipe,marianna vieira sobral castello branco,bagnolia araujo da silva,maria do socorro de franca silva,0.46,0.5,0.59,0.63
144,anne evelyne franco de souza,maria do socorro de franca silva,fabiana de andrade cavalcante,robson cavalcante veras,0.41,0.66,0.66,0.65
145,edeltrudes de oliveira lima,reinaldo nobrega de almeida,isac almeida de medeiros,marianna vieira sobral castello branco,0.39,0.48,0.71,0.49
146,cicero francisco bezerra felipe,fabiana de andrade cavalcante,reinaldo nobrega de almeida,robson cavalcante veras,0.48,0.65,0.61,0.66
147,anne evelyne franco de souza,islania giselia albuquerque goncalves,edeltrudes de oliveira lima,reinaldo nobrega de almeida,0.36,0.49,0.53,0.5
148,anne evelyne franco de souza,islania giselia albuquerque goncalves,maria do socorro de franca silva,marianna vieira sobral castello branco,0.26,0.48,0.61,0.5
149,cicero francisco bezerra felipe,maria do socorro de franca silva,isac almeida de medeiros,maria do socorro de franca silva,0.42,0.66,0.65,0.66
150,marcia regina piuvezam,sandra rodrigues mascarenhas,marcia regina piuvezam,sandra rodrigues mascarenhas,0.71,0.59,0.71,0.59
151,sandra rodrigues mascarenhas,tatjana keesen de souza lima clemente,giciane carvalho vieira,sandra rodrigues mascarenhas,0.65,0.46,0.71,0.65
152,sandra rodrigues mascarenhas,tatjana keesen de souza lima clemente,giciane carvalho vieira,sandra rodrigues mascarenhas,0.6,0.49,0.68,0.6
153,giciane carvalho vieira,tatjana keesen de souza lima clemente,sandra rodrigues mascarenhas,tatjana keesen de souza lima clemente,0.6,0.55,0.65,0.55
154,marcia regina piuvezam,tatjana keesen de souza lima clemente,giciane carvalho vieira,marcia regina piuvezam,0.65,0.36,0.59,0.65
155,marcia regina piuvezam,sandra rodrigues mascarenhas,giciane carvalho vieira,marcia regina piuvezam,0.43,0.17,0.26,0.43
156,krystyna gorlach lira,thompson lopes de oliveira,krystyna gorlach lira,thompson lopes de oliveira,0.5,0.53,0.5,0.53
157,cybelle de oliveira dantas,krystyna gorlach lira,cybelle de oliveira dantas,thompson lopes de oliveira,0.35,0.31,0.35,0.39
158,cybelle de oliveira dantas,thompson lopes de oliveira,cybelle de oliveira dantas,patricia pinheiro fernandes vieira,0.34,0.28,0.34,0.2
159,patricia pinheiro fernandes vieira,thompson lopes de oliveira,cybelle de oliveira dantas,thompson lopes de oliveira,0.36,0.54,0.5,0.54
160,cybelle de oliveira dantas,thompson lopes de oliveira,patricia pinheiro fernandes vieira,thompson lopes de oliveira,0.38,0.55,0.31,0.55
161,jose soares do nascimento,krystyna gorlach lira,cybelle de oliveira dantas,krystyna gorlach lira,0.2,0.36,0.35,0.36
162,jose soares do nascimento,krystyna gorlach lira,jose soares do nascimento,krystyna gorlach lira,0.39,0.55,0.39,0.55
163,eufrasio de andrade lima neto,ercules epaminondas de sousa teotonio,angela de siqueira figueiredo,eloisa lorenzo de azevedo ghersel,0.15,0.16,0.52,0.56
164,andre jacomel torii,roberto leal pimentel,guttemberg da silva silvino,ricardo almeida de melo,0.28,0.29,0.41,0.35
165,angelo vieira mendonca,normando perazzo barbosa,angelo vieira mendonca,roberto leal pimentel,0.58,0.16,0.58,0.54
166,aline flavia nunes remigio antunes,roberto leal pimentel,andre jacomel torii,roberto leal pimentel,0.26,0.46,0.58,0.46
167,angelo vieira mendonca,heber pimentel gomes,heber pimentel gomes,normando perazzo barbosa,0.15,0.32,0.32,0.21
168,heber pimentel gomes,normando perazzo barbosa,andre jacomel torii,guttemberg da silva silvino,0.28,0.19,0.48,0.49
169,aline flavia nunes remigio antunes,celso augusto guimaraes santos,aline flavia nunes remigio antunes,celso augusto guimaraes santos,0.41,0.48,0.41,0.48
170,andre jacomel torii,roberto leal pimentel,andre jacomel torii,guttemberg da silva silvino,0.38,0.25,0.38,0.39
171,angelo vieira mendonca,ricardo almeida de melo,celso augusto guimaraes santos,roberto leal pimentel,0.32,0.31,0.32,0.37
172,aline flavia nunes remigio antunes,celso augusto guimaraes santos,heber pimentel gomes,ricardo almeida de melo,0.17,0.21,0.24,0.25
173,aline flavia nunes remigio antunes,celso augusto guimaraes santos,aline flavia nunes remigio antunes,heber pimentel gomes,0.35,0.13,0.35,0.35
174,andre jacomel torii,normando perazzo barbosa,guttemberg da silva silvino,roberto leal pimentel,0.28,0.25,0.38,0.38
175,angelo vieira mendonca,heber pimentel gomes,andre jacomel torii,angelo vieira mendonca,0.46,0.37,0.54,0.46
176,celso augusto guimaraes santos,normando perazzo barbosa,angelo vieira mendonca,ricardo almeida de melo,0.24,0.28,0.37,0.38
177,ana flavia uzeda dos santos macambira,fernanda fernandes de melo,ionaldo jose lima diniz basilio,angela maria tribuzy de magalhaes cordeiro,0.32,0.35,0.5,0.52
178,itamara farias leite,ramon alves torquato,fabiana de carvalho fim,tiberio andrade dos passos,0.34,0.44,0.58,0.59
179,danniel ferreira de oliveira,ricardo peixoto suassuna dutra,danielle guedes de lima cavalcante,fabiana de carvalho fim,0.38,0.47,0.52,0.52
180,danielle guedes de lima cavalcante,pollyana caetano ribeiro fernandes,debora albuquerque vieira,max rocha quirino,0.49,0.46,0.56,0.51
181,maria roseane de pontes fernandes,max rocha quirino,debora albuquerque vieira,pollyana caetano ribeiro fernandes,0.5,0.43,0.58,0.53
182,danielle guedes de lima cavalcante,tiberio andrade dos passos,max rocha quirino,ramon alves torquato,0.4,0.47,0.55,0.52
183,flavia de medeiros aquino,maria roseane de pontes fernandes,flavia de medeiros aquino,itamara farias leite,0.71,0.59,0.71,0.61
184,danniel ferreira de oliveira,pollyana caetano ribeiro fernandes,maria roseane de pontes fernandes,tiberio andrade dos passos,0.42,0.51,0.62,0.59
185,eliton souto de medeiros,ramon alves torquato,eliton souto de medeiros,tiberio andrade dos passos,0.48,0.39,0.48,0.53
186,amelia severino ferreira e santos,pollyana caetano ribeiro fernandes,flavia de medeiros aquino,lucineide balbino da silva,0.56,0.5,0.6,0.61
187,debora albuquerque vieira,renate maria ramos wellen,flavia de medeiros aquino,heber sivini ferreira,0.4,0.26,0.56,0.45
188,danniel ferreira de oliveira,ramon alves torquato,danniel ferreira de oliveira,heber sivini ferreira,0.48,0.44,0.48,0.52
189,amelia severino ferreira e santos,pollyana caetano ribeiro fernandes,amelia severino ferreira e santos,lucineide balbino da silva,0.58,0.52,0.58,0.62
190,itamara farias leite,ricardo peixoto suassuna dutra,daniel araujo de macedo,debora albuquerque vieira,0.45,0.34,0.71,0.6
191,debora albuquerque vieira,tiberio andrade dos passos,daniel araujo de macedo,severino jackson guedes de lima,0.43,0.43,0.51,0.39
192,eliton souto de medeiros,severino jackson guedes de lima,eliton souto de medeiros,ricardo peixoto suassuna dutra,0.52,0.36,0.52,0.5
193,danielle guedes de lima cavalcante,fabiana de carvalho fim,daniel araujo de macedo,danielle guedes de lima cavalcante,0.48,0.41,0.61,0.48
194,flavia de medeiros aquino,ramon alves torquato,fabiana de carvalho fim,renate maria ramos wellen,0.48,0.41,0.62,0.63
195,max rocha quirino,ricardo peixoto suassuna dutra,lucineide balbino da silva,renate maria ramos wellen,0.56,0.5,0.61,0.61
196,danielle guedes de lima cavalcante,max rocha quirino,danielle guedes de lima cavalcante,fabiana de carvalho fim,0.62,0.38,0.62,0.62
197,flavia de medeiros aquino,heber sivini ferreira,maria roseane de pontes fernandes,pollyana caetano ribeiro fernandes,0.51,0.47,0.56,0.53
198,amelia severino ferreira e santos,itamara farias leite,danielle guedes de lima cavalcante,max rocha quirino,0.5,0.37,0.51,0.53
199,debora albuquerque vieira,lucineide balbino da silva,daniel araujo de macedo,maria roseane de pontes fernandes,0.46,0.41,0.61,0.54
200,danniel ferreira de oliveira,ricardo peixoto suassuna dutra,lucineide balbino da silva,tiberio andrade dos passos,0.43,0.34,0.63,0.61
201,debora albuquerque vieira,maria roseane de pontes fernandes,heber sivini ferreira,itamara farias leite,0.31,0.45,0.5,0.46
202,eliton souto de medeiros,maria roseane de pontes fernandes,maria roseane de pontes fernandes,pollyana caetano ribeiro fernandes,0.29,0.52,0.52,0.49
203,amelia severino ferreira e santos,itamara farias leite,debora albuquerque vieira,flavia de medeiros aquino,0.41,0.36,0.47,0.44
204,daniel araujo de macedo,max rocha quirino,amelia severino ferreira e santos,renate maria ramos wellen,0.51,0.53,0.59,0.61
205,cicero da rocha souto,isaac soares de freitas,cicero da rocha souto,euler cassio tavares de macedo,0.52,0.53,0.52,0.52
206,antonio augusto lisboa de souza,romero leandro andersen,romero leandro andersen,yuri percy molina rodriguez,0.52,0.62,0.62,0.6
